Sectorizacion;Sector;Volumen;Nucleo
6K;LECPF2X;DSX;Palma APP
6K;LECPF2X;DW2;Palma APP
6K;LECPF2X;LSX;Palma APP
6K;LECPGMX;GXX;Palma APP
6K;LECPGMX;MXX;Palma APP
6K;LECPIAW;IA24;Palma APP
6K;LECPIAW;IAX;Palma APP
6K;LECPIRW;IA06;Palma APP
6K;LECPIRW;IRX;Palma APP
6L;LECPAPP;APP;Palma APP
6L;LECPF1O;DE1;Palma APP
6L;LECPF1O;DW1;Palma APP
6L;LECPF1O;LNX;Palma APP
6L;LECPF1O;OXX;Palma APP
6L;LECPF2X;DE2;Palma APP
6L;LECPF2X;DSX;Palma APP
6L;LECPF2X;DW2;Palma APP
6L;LECPF2X;LSX;Palma APP
6L;LECPGMX;GXX;Palma APP
6L;LECPGMX;MXX;Palma APP
6L;LECPIAE;IA06;Palma APP
6L;LECPIAE;IAX;Palma APP
6L;LECPIRE;IA24;Palma APP
6L;LECPIRE;IRX;Palma APP
6M;LECPAPP;APP;Palma APP
6M;LECPF1X;DE1;Palma APP
6M;LECPF1X;DW1;Palma APP
6M;LECPF1X;LNX;Palma APP
6M;LECPF2X;DE2;Palma APP
6M;LECPF2X;DSX;Palma APP
6M;LECPF2X;DW2;Palma APP
6M;LECPF2X;LSX;Palma APP
6M;LECPGOM;GXX;Palma APP
6M;LECPGOM;MXX;Palma APP
6M;LECPGOM;OXX;Palma APP
6M;LECPIAW;IA24;Palma APP
6M;LECPIAW;IAX;Palma APP
6M;LECPIRW;IA06;Palma APP
6M;LECPIRW;IRX;Palma APP
6N;LECPAPP;APP;Palma APP
6N;LECPF1X;DE1;Palma APP
6N;LECPF1X;DW1;Palma APP
6N;LECPF1X;LNX;Palma APP
6N;LECPF2X;DE2;Palma APP
6N;LECPF2X;DSX;Palma APP
6N;LECPF2X;DW2;Palma APP
6N;LECPF2X;LSX;Palma APP
6N;LECPGOM;GXX;Palma APP
6N;LECPGOM;MXX;Palma APP
6N;LECPGOM;OXX;Palma APP
6N;LECPIAE;IA06;Palma APP
6N;LECPIAE;IAX;Palma APP
6N;LECPIRE;IA24;Palma APP
6N;LECPIRE;IRX;Palma APP
6O;LECPAPP;APP;Palma APP
6O;LECPF12;DE1;Palma APP
6O;LECPF12;DE2;Palma APP
